,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium,restaurant,item
203,900,486,54,25.0,3.0,210,1740,50,2.0,11,56.0,10.0,20.0,30.0,Burger King,Double Quarter Pound King
204,580,300,33,13.0,1.5,85,1030,45,2.0,9,26.0,10.0,20.0,30.0,Burger King,Extra Long Cheeseburger
205,1220,720,80,28.0,3.0,335,2050,62,2.0,15,23.0,10.0,20.0,30.0,Burger King,Farmhouse King
206,260,90,10,4.0,0.0,35,490,28,1.0,6,13.0,10.0,20.0,30.0,Burger King,Hamburger
207,550,250,27,12.0,1.5,95,1140,48,2.0,10,30.0,10.0,20.0,30.0,Burger King,Homestyle Cheeseburger
208,990,585,65,24.0,3.0,205,1550,46,2.0,7,55.0,10.0,20.0,30.0,Burger King,Jalapeno King Sandwich
209,940,567,63,21.0,2.5,175,1380,45,2.0,8,49.0,10.0,20.0,30.0,Burger King,Mushroom & Swiss King
210,310,110,13,4.0,0.5,25,450,38,1.0,9,9.0,10.0,20.0,30.0,Burger King,Rodeo Burger
211,1250,738,82,31.0,3.5,230,2270,69,3.0,14,60.0,10.0,20.0,30.0,Burger King,Rodeo King
212,730,387,43,16.0,1.5,125,1570,52,2.0,12,35.0,10.0,20.0,30.0,Burger King,Sourdough King Single
213,970,549,61,24.0,3.0,205,1640,52,2.0,12,55.0,10.0,20.0,30.0,Burger King,Sourdough King Double
214,1100,666,74,24.0,1.0,180,1620,59,2.0,13,50.0,10.0,20.0,30.0,Burger King,Steakhouse King
215,770,432,48,16.0,2.0,95,1360,47,2.0,9,29.0,10.0,20.0,30.0,Burger King,Bacon & Cheese Whopper
216,900,510,57,19.0,2.0,140,1050,51,3.0,11,47.0,10.0,20.0,30.0,Burger King,DOUBLE WHOPPER w/o Cheese
217,990,580,65,24.0,2.0,160,1480,53,3.0,11,52.0,10.0,20.0,30.0,Burger King,DOUBLE WHOPPER w/ Cheese
218,660,360,40,12.0,1.5,90,980,49,2.0,11,28.0,10.0,20.0,30.0,Burger King,WHOPPER w/o Cheese
219,760,430,47,16.0,1.0,100,1410,53,3.0,11,33.0,10.0,20.0,30.0,Burger King,WHOPPER w/ Cheese
220,340,170,19,5.0,0.0,40,510,28,2.0,6,14.0,10.0,20.0,30.0,Burger King,WHOPPER JR. w/o Cheese
221,380,210,23,8.0,1.0,55,730,29,2.0,6,16.0,10.0,20.0,30.0,Burger King,WHOPPER JR. w/ Cheese
222,590,360,40,12.0,0.0,150,1540,18,3.0,6,42.0,10.0,20.0,30.0,Burger King,Bacon Cheddar Ranch Chicken Salad w/ grilled Chicken & Dressing
223,720,450,50,13.0,0.0,120,1960,32,5.0,7,36.0,10.0,20.0,30.0,Burger King,Bacon Cheddar Ranch Chicken Salad w/ crispy Chicken & Dressing
224,550,330,37,10.0,0.0,115,1640,17,3.0,5,36.0,10.0,20.0,30.0,Burger King,Chicken BLT Salad w/ Grilled Chicken
225,690,430,48,12.0,1.0,100,1750,31,4.0,8,35.0,10.0,20.0,30.0,Burger King,Chicken BLT Salad w/ Crispy Chicken
226,530,290,32,5.0,0.0,95,1640,26,3.0,6,35.0,10.0,20.0,30.0,Burger King,Chicken Caesar Salad w/ Grilled Chicken
227,670,380,43,7.0,0.0,80,1760,40,5.0,8,34.0,10.0,20.0,30.0,Burger King,Chicken Caesar Salad w/ Crispy Chicken
228,560,270,30,7.0,0.0,90,980,40,4.0,34,29.0,10.0,20.0,30.0,Burger King,"Chicken, Apple & Cranberry Salad w/ Grilled Chicken"
229,700,370,41,9.0,0.0,80,1090,54,5.0,37,28.0,10.0,20.0,30.0,Burger King,"Chicken, Apple & Cranberry Salad w/ Crispy Chicken"
230,320,120,14,6.0,0.0,115,650,16,2.0,4,36.0,10.0,20.0,30.0,Burger King,"Garden Grilled Chicken Salad w/ Grilled Chicken, no dressing"
231,450,220,24,7.0,0.0,85,1070,30,5.0,6,29.0,10.0,20.0,30.0,Burger King,"Garden Grilled Chicken Salad w/ Crispy Chicken, no dressing"
232,220,180,20,4.0,0.0,10,540,7,2.0,3,6.0,10.0,20.0,30.0,Burger King,Side Caesar Salad with dressing
233,230,190,21,5.0,0.0,30,520,7,2.0,3,5.0,10.0,20.0,30.0,Burger King,Side Garden Salad and Avocado Ranch Dressing
234,830,468,52,14.0,0.5,110,2100,57,2.0,9,34.0,10.0,20.0,30.0,Burger King,Bacon Cheddar Ranch Crispy Chicken Sandwich
235,440,243,27,4.5,0.0,15,630,44,2.0,13,7.0,10.0,20.0,30.0,Burger King,BBQ Bacon Crispy Chicken Sandwich
236,530,250,27,4.5,0.0,30,1360,54,2.0,7,17.0,10.0,20.0,30.0,Burger King,Big Fish Sandwich
237,410,150,16,3.0,0.0,5,1030,44,7.0,8,22.0,10.0,20.0,30.0,Burger King,BK VEGGIE Burger
238,480,220,25,2.5,0.0,5,1160,42,2.0,10,22.0,10.0,20.0,30.0,Burger King,Chicken Burger
239,730,351,39,9.0,0.0,90,1930,63,2.0,16,32.0,10.0,20.0,30.0,Burger King,Chicken Cordon Bleu Sandwich
240,290,150,17,3.0,1.5,40,780,18,1.0,1,16.0,10.0,20.0,30.0,Burger King,Chicken Fries
241,190,100,11,2.0,0.0,25,310,10,1.0,0,10.0,10.0,20.0,30.0,Burger King,4 Piece Chicken Nuggets
242,290,150,17,3.0,0.0,40,460,15,1.0,0,15.0,10.0,20.0,30.0,Burger King,6 Piece Chicken Nuggets
243,950,500,55,11.0,0.0,130,1530,50,5.0,0,51.0,10.0,20.0,30.0,Burger King,20 Piece Chicken Nuggets
244,470,260,29,5.0,0.0,50,890,34,5.0,0,21.0,10.0,20.0,30.0,Burger King,Chicken Nuggets (10pc)
245,570,225,25,8.0,0.0,70,1340,57,2.0,9,32.0,10.0,20.0,30.0,Burger King,Chicken Parmesan Sandwich
246,580,252,28,8.0,0.5,70,2310,56,2.0,8,30.0,10.0,20.0,30.0,Burger King,Crispy Buffalo Chicken Melt
247,430,250,28,4.5,0.0,30,760,34,2.0,4,12.0,10.0,20.0,30.0,Burger King,Crispy Chicken Jr.
248,670,370,41,7.0,0.5,60,1070,54,2.0,7,23.0,10.0,20.0,30.0,Burger King,Crispy Chicken Sandwich
249,470,170,19,3.5,0.0,85,850,39,2.0,6,37.0,10.0,20.0,30.0,Burger King,Grilled Chicken Sandwich
250,330,170,19,8.0,1.0,40,980,28,2.0,5,14.0,10.0,20.0,30.0,Burger King,Grilled Chili Cheese Dog
251,310,140,16,6.0,1.0,30,960,32,2.0,10,11.0,10.0,20.0,30.0,Burger King,Grilled Hot Dog
252,300,160,18,3.0,0.0,40,950,19,1.0,1,15.0,10.0,20.0,30.0,Burger King,Jalapeno Chicken Fries
253,630,350,39,7.0,1.0,65,1390,46,3.0,4,24.0,10.0,20.0,30.0,Burger King,Original Chicken Sandwich
254,340,189,21,3.5,0.0,45,1200,21,1.0,1,16.0,10.0,20.0,30.0,Burger King,Pretzel Chicken Fries
255,410,150,17,3.0,0.0,20,870,53,2.0,14,12.0,10.0,20.0,30.0,Burger King,Rodeo Crispy Chicken Sandwich
256,840,459,51,12.0,1.0,95,1760,62,3.0,7,32.0,10.0,20.0,30.0,Burger King,Sourdough Chicken Club
257,210,135,15,3.0,0.0,20,570,11,2.0,0,8.0,10.0,20.0,30.0,Burger King,4 Piece Spicy Chicken Nuggets
258,530,333,37,7.0,0.0,55,1420,28,2.0,0,20.0,10.0,20.0,30.0,Burger King,Spicy Chicken Nuggets
259,410,220,25,4.5,0.0,35,850,35,2.0,5,12.0,10.0,20.0,30.0,Burger King,Spicy Crispy Chicken Jr.
260,700,378,42,7.0,0.0,65,1140,57,3.0,8,25.0,10.0,20.0,30.0,Burger King,Spicy Crispy Chicken Sandwich
261,760,405,45,11.0,0.0,95,1720,58,3.0,8,32.0,10.0,20.0,30.0,Burger King,Spicy Crispy Jalapeno Chicken Sandwich
262,1000,660,74,26.0,2.0,170,1610,40,2.0,9,46.0,25.0,8.0,30.0,Dairy Queen,1/2 lb. FlameThrower® GrillBurger
263,800,460,51,20.0,2.0,135,1280,44,3.0,13,40.0,25.0,6.0,35.0,Dairy Queen,1/2 lb. GrillBurger with Cheese
264,630,330,37,13.0,1.0,95,1250,44,2.0,13,30.0,20.0,6.0,25.0,Dairy Queen,1/4 lb. Bacon Cheese GrillBurger
265,540,270,30,11.0,1.0,70,1020,44,3.0,13,23.0,20.0,6.0,25.0,Dairy Queen,1/4 lb. GrillBurger with Cheese
266,570,310,35,11.0,1.0,75,820,39,2.0,8,24.0,2.0,0.0,25.0,Dairy Queen,1/4 lb. Mushroom Swiss GrillBurger
267,400,160,18,9.0,1.0,65,930,34,1.0,8,19.0,10.0,0.0,10.0,Dairy Queen,Original Cheeseburger
268,630,310,34,18.0,2.0,125,1240,34,1.0,9,34.0,15.0,0.0,20.0,Dairy Queen,Original Double Cheeseburger
269,1030,480,53,9.0,1.0,80,2780,105,9.0,4,35.0,2.0,0.0,10.0,Dairy Queen,4 Piece Chicken Strip Basket w/ Country Gravy
270,1260,590,66,11.0,1.0,120,3500,121,12.0,4,49.0,2.0,0.0,10.0,Dairy Queen,6 Piece Chicken Strip Basket w/ Country Gravy
271,420,240,26,11.0,1.0,60,1140,26,1.0,3,19.0,10.0,20.0,30.0,Dairy Queen,Bacon Cheese Dog
272,390,220,24,11.0,1.0,50,1000,26,1.0,3,16.0,10.0,20.0,30.0,Dairy Queen,Cheese Dog
273,380,220,24,11.0,1.0,55,900,23,1.0,3,16.0,10.0,0.0,15.0,Dairy Queen,Chili Cheese Dog
274,330,180,20,8.0,1.0,40,1050,24,1.0,5,13.0,8.0,0.0,6.0,Dairy Queen,Chili Dog
275,290,160,17,7.0,1.0,35,900,22,1.0,4,11.0,4.0,0.0,6.0,Dairy Queen,Hot Dog
276,350,180,20,8.0,1.0,35,1000,30,1.0,6,13.0,10.0,20.0,30.0,Dairy Queen,Relish Dog
277,310,80,9,3.0,0.0,50,830,41,2.0,9,17.0,10.0,4.0,4.0,Dairy Queen,Barbecue Pork Sandwich
278,250,80,9,1.0,0.0,0,500,36,2.0,1,7.0,0.0,2.0,2.0,Dairy Queen,Breaded Mushrooms
279,550,410,45,25.0,0.0,150,900,0,0.0,0,35.0,30.0,0.0,100.0,Dairy Queen,Regular Cheese Curds
280,1050,670,75,43.0,1.0,180,2210,52,0.0,30,43.0,10.0,20.0,30.0,Dairy Queen,Large Cheese Curds
281,760,440,49,21.0,2.0,100,1570,48,2.0,6,32.0,10.0,20.0,30.0,Dairy Queen,Chili Cheese Mega Dog
282,260,140,15,4.0,0.0,20,450,26,1.0,7,6.0,0.0,4.0,0.0,Dairy Queen,Corn Dog
283,470,200,22,3.0,0.0,20,1210,53,2.0,7,17.0,10.0,2.0,6.0,Dairy Queen,Crispy Fish Sandwich
284,400,160,18,9.0,1.0,65,930,35,1.0,9,20.0,20.0,6.0,10.0,Dairy Queen,Deluxe Cheeseburger
285,640,310,34,18.0,2.0,125,1240,35,1.0,9,34.0,25.0,6.0,20.0,Dairy Queen,Deluxe Double Cheeseburger
286,540,240,26,13.0,1.0,100,750,34,1.0,9,29.0,15.0,6.0,4.0,Dairy Queen,Deluxe Double Hamburger
287,350,130,14,7.0,1.0,50,680,34,1.0,9,17.0,15.0,6.0,4.0,Dairy Queen,Deluxe Hamburger
288,780,430,48,22.0,2.0,150,1390,34,1.0,7,41.0,20.0,6.0,20.0,Dairy Queen,DQ Ultimate® Burger
289,580,310,34,7.0,0.0,45,910,48,2.0,6,19.0,10.0,20.0,30.0,Dairy Queen,Pork Tenderloin Sandwich
290,910,430,48,13.0,0.5,45,2210,95,5.0,2,23.0,10.0,20.0,30.0,Dairy Queen,Steak Finger Basket
291,350,180,20,3.0,0.0,60,960,22,10.0,0,22.0,10.0,20.0,30.0,Dairy Queen,3 chicken strips Chicken Strips
292,500,180,20,8.0,0.0,65,1190,45,3.0,3,33.0,10.0,20.0,30.0,Dairy Queen,Chicken Bacon Ranch Sandwich
293,640,220,25,8.0,0.0,60,1530,68,4.0,3,34.0,10.0,20.0,30.0,Dairy Queen,Chicken Mozzarella Sandwich
294,520,280,31,10.0,0.0,100,1470,25,9.0,6,37.0,10.0,20.0,30.0,Dairy Queen,Crispy Chicken BLT Salad
295,280,120,13,2.0,0.0,40,670,24,9.0,6,17.0,10.0,20.0,30.0,Dairy Queen,Crispy Chicken Garden Greens Salad
296,600,270,30,5.0,0.0,55,1250,59,7.0,8,24.0,10.0,6.0,15.0,Dairy Queen,Crispy Chicken Sandwich
297,350,190,21,5.0,0.0,35,820,30,2.0,1,12.0,10.0,2.0,10.0,Dairy Queen,Crispy Chicken Wrap
298,380,170,19,9.0,0.0,100,1540,11,3.0,6,42.0,10.0,20.0,30.0,Dairy Queen,Grilled Chicken BLT Salad
299,150,20,2,0.5,0.0,40,730,10,3.0,6,23.0,10.0,20.0,30.0,Dairy Queen,Grilled Chicken Garden Greens Salad
300,360,140,15,3.0,0.0,50,1040,32,1.0,5,25.0,10.0,8.0,6.0,Dairy Queen,Grilled Chicken Sandwich
301,280,130,15,4.0,0.0,30,800,22,1.0,1,15.0,10.0,4.0,10.0,Dairy Queen,Grilled Chicken Wrap
302,20,0,0,0.0,0.0,0,15,5,2.0,3,1.0,50.0,30.0,15.0,Dairy Queen,Side Salad
303,550,240,26,8.0,0.0,60,1420,45,3.0,3,30.0,10.0,20.0,30.0,Dairy Queen,Turkey BLT Sandwich
304,320,80,9,4.0,0.0,20,680,43,5.0,6,15.0,8.0,8.0,30.0,Subway,"6"" B.L.T."
305,640,160,18,8.0,0.0,40,1360,86,10.0,12,30.0,16.0,16.0,60.0,Subway,Footlong B.L.T.
306,430,160,18,6.0,0.0,50,590,47,5.0,8,19.0,8.0,20.0,30.0,Subway,"6"" BBQ Rib Sandwich"
307,860,320,36,12.0,0.0,100,1180,94,10.0,16,38.0,16.0,40.0,60.0,Subway,Footlong BBQ Rib Sandwich
308,580,310,31,11.0,0.0,85,1470,47,5.0,7,29.0,10.0,45.0,40.0,Subway,"6"" Big Hot Pastrami"
309,1160,620,62,22.0,0.0,170,2940,94,10.0,14,58.0,20.0,90.0,80.0,Subway,Footlong Big Hot Pastrami
310,500,150,17,9.0,1.0,85,1310,51,6.0,8,38.0,15.0,20.0,50.0,Subway,"6"" Big Philly Cheesesteak"
311,1000,300,34,18.0,2.0,170,2620,102,12.0,16,76.0,30.0,40.0,100.0,Subway,Footlong Big Philly Cheesesteak
312,180,20,3,0.5,0.0,10,450,30,3.0,5,10.0,6.0,15.0,20.0,Subway,Kids Mini Sub Black Forest Ham
313,290,40,5,1.0,0.0,20,830,46,5.0,8,18.0,8.0,20.0,30.0,Subway,"6"" Black Forest Ham"
314,580,80,10,2.0,0.0,40,1660,92,10.0,16,36.0,16.0,40.0,60.0,Subway,Footlong Black Forest Ham
315,330,45,5,1.0,0.0,45,890,45,5.0,7,25.0,8.0,20.0,30.0,Subway,"6"" Carved Turkey"
316,660,90,10,2.0,0.0,90,1780,90,10.0,14,50.0,16.0,40.0,60.0,Subway,Footlong Carved Turkey
317,570,230,26,7.0,0.0,70,1600,46,5.0,8,33.0,10.0,20.0,40.0,Subway,"6"" Carved Turkey & Bacon w/ Cheese"
318,1140,460,52,14.0,0.0,140,3200,92,10.0,16,66.0,20.0,40.0,80.0,Subway,Footlong Carved Turkey & Bacon w/ Cheese
319,570,250,28,10.0,1.0,95,1080,47,5.0,8,35.0,15.0,25.0,50.0,Subway,"6"" Chicken & Bacon Ranch Melt"
320,1140,500,56,20.0,2.0,190,2160,94,10.0,16,70.0,30.0,50.0,100.0,Subway,Footlong Chicken & Bacon Ranch Melt
321,460,140,16,6.0,0.0,80,1140,49,6.0,9,32.0,15.0,30.0,45.0,Subway,"6"" Chicken Pizziola Melt"
322,920,280,32,12.0,0.0,160,2280,98,12.0,18,64.0,30.0,60.0,90.0,Subway,Footlong Chicken Pizziola Melt
323,370,120,13,4.0,0.0,50,1140,46,5.0,7,18.0,10.0,20.0,35.0,Subway,"6"" Cold Cut Combo"
324,740,240,26,8.0,0.0,100,2280,92,10.0,14,36.0,20.0,40.0,70.0,Subway,Footlong Cold Cut Combo
325,470,130,15,4.5,0.0,85,1770,45,7.0,12,39.0,10.0,35.0,20.0,Subway,"6"" Corned Beef Reuben"
326,940,260,30,9.0,0.0,170,3540,90,14.0,24,78.0,20.0,70.0,40.0,Subway,Footlong Corned Beef Reuben
327,410,150,16,6.0,0.0,45,1300,46,5.0,8,20.0,8.0,20.0,30.0,Subway,"6"" Italian B.M.T."
328,820,300,32,12.0,0.0,90,2600,92,10.0,16,40.0,16.0,40.0,60.0,Subway,Footlong Italian B.M.T.
329,550,260,29,10.0,0.0,75,1470,47,5.0,9,26.0,10.0,20.0,40.0,Subway,"6"" Italian Hero"
330,1100,520,58,20.0,0.0,150,2940,94,10.0,18,52.0,20.0,40.0,80.0,Subway,Footlong Italian Hero
331,480,160,18,7.0,1.0,30,950,59,8.0,12,21.0,25.0,35.0,35.0,Subway,"6"" Meatball Marinara"
332,960,320,36,14.0,2.0,60,1900,118,16.0,24,42.0,50.0,70.0,70.0,Subway,Footlong Meatball Marinara
333,320,40,5,2.0,0.0,25,640,47,5.0,8,23.0,8.0,30.0,30.0,Subway,"6"" Oven Roasted Chicken"
334,640,80,10,4.0,0.0,50,1280,44,10.0,16,46.0,16.0,60.0,60.0,Subway,Footlong Oven Roasted Chicken
335,200,25,3,1.0,0.0,25,390,30,4.0,5,14.0,6.0,15.0,20.0,Subway,Kids Mini Sub Roast Beef
336,320,40,5,2.0,0.0,40,700,45,5.0,7,24.0,8.0,20.0,30.0,Subway,"6"" Roast Beef"
337,640,80,10,4.0,0.0,80,1400,90,10.0,14,48.0,16.0,40.0,60.0,Subway,Footlong Roast Beef
338,350,50,6,1.5,0.0,50,540,44,5.0,7,29.0,8.0,20.0,30.0,Subway,"6"" Rotisserie Style Chicken"
339,700,100,12,3.0,0.0,100,1080,88,10.0,14,58.0,16.0,40.0,60.0,Subway,Footlong Rotisserie Style Chicken
340,480,220,24,9.0,1.0,50,1520,46,5.0,8,20.0,8.0,20.0,30.0,Subway,"6"" Spicy Italian"
341,960,440,48,18.0,2.0,100,3040,92,10.0,16,40.0,16.0,40.0,60.0,Subway,Footlong Spicy Italian
342,380,90,10,5.0,0.0,50,1060,48,5.0,8,26.0,10.0,20.0,40.0,Subway,"6"" Steak and Cheese"
343,760,180,20,10.0,0.0,100,2120,96,10.0,16,52.0,20.0,40.0,80.0,Subway,Footlong Steak and Cheese
344,310,40,5,2.0,0.0,40,880,46,5.0,7,23.0,8.0,20.0,30.0,Subway,"6"" Subway Club"
345,620,80,10,4.0,0.0,80,1760,92,10.0,14,46.0,16.0,40.0,60.0,Subway,Footlong Subway Club
346,370,100,11,5.0,0.0,45,1210,47,5.0,8,23.0,10.0,20.0,40.0,Subway,"6"" Subway Melt (includes cheese)"
347,740,200,22,10.0,0.0,90,1420,94,10.0,16,46.0,20.0,40.0,80.0,Subway,Footlong Subway Melt (includes cheese)
348,420,170,19,3.0,0.0,20,690,51,5.0,8,13.0,10.0,20.0,35.0,Subway,"6"" Subway Seafood Sensation"
349,840,340,38,6.0,0.0,40,1380,102,10.0,16,26.0,20.0,40.0,70.0,Subway,Footlong Subway Seafood Sensation
350,380,40,5,1.0,0.0,50,900,59,5.0,18,26.0,8.0,30.0,35.0,Subway,"6"" Sweet Onion Chicken Teriyaki"
351,760,80,10,2.0,0.0,100,1800,118,10.0,36,52.0,16.0,60.0,70.0,Subway,Footlong Sweet Onion Chicken Teriyaki
352,470,210,24,4.0,0.0,30,620,44,5.0,6,20.0,8.0,20.0,30.0,Subway,"6"" Tuna"
353,940,420,48,8.0,0.0,60,1240,88,10.0,12,40.0,16.0,40.0,60.0,Subway,Footlong Tuna
354,390,110,13,3.5,0.0,30,860,49,8.0,7,22.0,10.0,200.0,30.0,Subway,"6"" Turkey & Bacon Avocado"
355,780,220,26,7.0,0.0,60,1720,98,16.0,14,44.0,20.0,400.0,60.0,Subway,Footlong Turkey & Bacon Avocado
356,180,20,2,0.5,0.0,10,380,30,3.0,5,10.0,6.0,15.0,20.0,Subway,Kids Mini Sub Turkey Breast
357,280,30,4,1.0,0.0,20,810,46,5.0,7,18.0,8.0,20.0,30.0,Subway,"6"" Turkey Breast"
358,560,60,8,2.0,0.0,40,1620,92,10.0,14,36.0,16.0,40.0,60.0,Subway,Footlong Turkey Breast
359,280,35,4,1.0,0.0,20,820,46,5.0,8,18.0,8.0,20.0,30.0,Subway,"6"" Turkey Breast & Ham"
360,560,70,8,2.0,0.0,40,1640,92,10.0,16,36.0,16.0,40.0,60.0,Subway,Footlong Turkey Breast & Ham
361,490,210,24,9.0,1.0,50,1480,47,5.0,8,24.0,10.0,20.0,45.0,Subway,"6"" Turkey Italiano Melt (with Provolone)"
362,980,420,48,18.0,2.0,100,2960,94,10.0,16,48.0,20.0,40.0,90.0,Subway,Footlong Turkey Italiano Melt (with Provolone)
363,150,15,2,0.0,0.0,0,190,29,3.0,4,6.0,6.0,15.0,20.0,Subway,Kids Mini Sub Veggie Delite
364,230,20,3,1.0,0.0,0,310,44,5.0,6,8.0,8.0,20.0,30.0,Subway,"6"" Veggie Delite"
365,460,40,6,2.0,0.0,0,620,88,10.0,12,16.0,16.0,40.0,60.0,Subway,Footlong Veggie Delite
366,390,70,7,1.0,0.0,10,800,56,8.0,8,23.0,15.0,20.0,35.0,Subway,"6"" Veggie Patty"
367,780,140,14,2.0,0.0,20,1600,112,16.0,16,46.0,30.0,20.0,70.0,Subway,Footlong Veggie Patty
368,300,80,9,3.0,0.0,60,1120,26,3.0,22,25.0,40.0,40.0,15.0,Subway,Autumn Carved Turkey Salad
369,150,70,8,4.0,0.0,20,420,10,4.0,5,10.0,50.0,50.0,6.0,Subway,B.L.T. Salad
370,400,300,29,11.0,0.0,85,1250,12,4.0,4,23.0,25.0,70.0,10.0,Subway,Big Hot Pastrami Melt Salad
371,330,140,16,8.0,1.0,85,1080,17,5.0,6,32.0,60.0,50.0,25.0,Subway,Big Philly Cheesesteak Salad
372,110,25,3,1.0,0.0,20,590,11,4.0,6,12.0,25.0,45.0,4.0,Subway,Black Forest Ham Salad
373,360,230,26,4.0,0.0,60,1100,13,4.0,6,20.0,50.0,60.0,8.0,Subway,Buffalo Chicken Salad (with Ranch dressing)
374,280,110,12,4.5,0.0,65,1320,11,4.0,5,28.0,50.0,50.0,15.0,Subway,Carved Turkey & Bacon w/ Cheese Salad
375,150,30,4,0.0,0.0,45,680,8,3.0,3,19.0,40.0,40.0,6.0,Subway,Carved Turkey Salad
376,510,340,38,12.0,1.0,100,1040,14,4.0,7,30.0,60.0,60.0,30.0,Subway,Chicken & Bacon Ranch Melt Salad (includes Ranch dressing)
377,180,95,11,4.0,0.0,45,820,12,4.0,5,12.0,50.0,50.0,10.0,Subway,Cold Cut Combo Salad
378,220,35,5,1.5,0.0,100,490,10,4.0,4,36.0,50.0,60.0,8.0,Subway,Double Chicken Salad
379,230,135,15,6.0,0.0,45,1060,12,4.0,6,14.0,50.0,50.0,6.0,Subway,Italian B.M.T.® Salad
380,230,140,15,5.0,0.0,45,1060,13,4.0,8,14.0,40.0,60.0,4.0,Subway,Italian Hero Salad
381,310,150,17,7.0,1.0,30,720,25,6.0,10,16.0,60.0,70.0,10.0,Subway,Meatball Marinara Salad
382,140,25,3,0.5,0.0,50,280,10,4.0,4,19.0,50.0,60.0,8.0,Subway,Oven Roasted Chicken Salad
383,140,30,4,1.0,0.0,40,450,10,4.0,5,18.0,25.0,45.0,4.0,Subway,Roast Beef Salad
384,310,205,23,9.0,1.0,50,1280,11,4.0,6,15.0,50.0,50.0,8.0,Subway,Spicy Italian Salad
385,210,75,8,4.0,0.0,50,830,14,4.0,6,20.0,50.0,50.0,15.0,Subway,Steak & Cheese Salad
386,140,30,4,1.0,0.0,40,640,11,4.0,5,17.0,25.0,45.0,6.0,Subway,Subway Club Salad
387,200,85,10,5.0,0.0,45,910,13,4.0,6,18.0,50.0,50.0,15.0,Subway,Subway Melt® Salad
388,200,25,3,1.0,0.0,50,660,24,4.0,16,20.0,25.0,50.0,6.0,Subway,Sweet Onion Chicken Teriyaki Salad
389,310,215,24,4.0,0.0,40,370,10,4.0,4,15.0,50.0,50.0,6.0,Subway,Tuna Salad
390,110,20,3,1.0,0.0,25,580,11,4.0,5,12.0,25.0,45.0,6.0,Subway,Turkey Breast & Ham Salad
391,110,20,2,1.0,0.0,20,570,11,4.0,5,12.0,25.0,45.0,6.0,Subway,Turkey Breast Salad
392,50,10,1,0.0,0.0,0,65,9,4.0,4,3.0,25.0,45.0,4.0,Subway,Veggie Delite Salad
393,760,330,37,12.0,1.0,100,2250,65,4.0,7,43.0,15.0,45.0,30.0,Subway,Chipotle Southwest Steak & Cheese Wrap
394,730,310,34,10.0,0.5,135,1900,53,3.0,4,55.0,15.0,8.0,45.0,Subway,Rotisserie-Style Chicken Caesar Wrap
395,810,380,42,13.0,0.5,75,2970,62,3.0,6,43.0,10.0,30.0,30.0,Subway,"Turkey, Bacon & Guacamole Wrap"
396,740,230,25,11.0,0.0,50,1270,100,5.0,9,36.0,35.0,30.0,60.0,Subway,Cheese & Veggies Pizza
397,680,200,22,9.0,0.0,40,1070,96,4.0,7,32.0,25.0,4.0,45.0,Subway,Cheese Pizza
398,790,290,32,13.0,0.0,60,1350,96,4.0,8,38.0,30.0,4.0,60.0,Subway,Pepperoni Pizza
399,820,310,34,14.0,0.0,70,1420,97,4.0,8,39.0,30.0,4.0,60.0,Subway,Sausage Pizza
400,540,230,26,7.0,1.0,45,1360,59,7.0,4,19.0,10.0,20.0,30.0,Taco Bell,1/2 lb.* Cheesy Potato Burrito
401,460,170,18,7.0,1.0,45,1320,53,9.0,3,21.0,10.0,20.0,30.0,Taco Bell,1/2 lb.* Combo Burrito
402,510,170,19,7.0,0.0,20,1090,68,11.0,4,16.0,10.0,20.0,30.0,Taco Bell,7-Layer Burrito
403,370,100,11,4.0,0.0,5,960,56,9.0,3,13.0,10.0,20.0,30.0,Taco Bell,Bean Burrito
404,550,200,22,8.0,0.0,35,1270,68,8.0,5,19.0,10.0,20.0,30.0,Taco Bell,Beefy 5-Layer Burrito
405,440,160,18,5.0,0.0,20,1030,55,4.0,3,13.0,10.0,20.0,30.0,Taco Bell,Beefy Fritos® Burrito
406,410,110,12,4.0,0.0,10,1100,62,8.0,3,14.0,10.0,20.0,30.0,Taco Bell,Black Bean Burrito
407,420,140,16,7.0,0.0,35,1090,53,8.0,5,16.0,10.0,20.0,30.0,Taco Bell,Burrito Supreme® – Beef
408,390,110,12,5.0,0.0,40,1050,52,7.0,5,19.0,10.0,20.0,30.0,Taco Bell,Burrito Supreme® - Chicken
409,390,120,13,5.0,0.0,30,1090,52,7.0,5,17.0,10.0,20.0,30.0,Taco Bell,Burrito Supreme® - Steak
410,760,240,27,6.0,0.0,60,1960,96,12.0,7,32.0,10.0,20.0,30.0,Taco Bell,Cantina Power Burrito - Chicken
411,780,250,28,7.0,0.0,50,1900,98,13.0,7,33.0,10.0,20.0,30.0,Taco Bell,Cantina Power Burrito - Steak
412,740,230,26,5.0,0.0,10,1750,107,17.0,8,20.0,10.0,20.0,30.0,Taco Bell,Cantina Power Burrito - Veggie
413,420,160,17,3.5,0.0,0,930,55,6.0,4,11.0,10.0,20.0,30.0,Taco Bell,Cheesy Bean and Rice Burrito
414,380,150,17,8.0,1.0,35,930,41,5.0,2,16.0,10.0,20.0,30.0,Taco Bell,Chili Cheese Burrito
415,610,210,24,9.0,0.0,55,1510,74,5.0,5,25.0,10.0,4.0,35.0,Taco Bell,Chicken Crunchy Cheesy Core Burrito
